1,"[24164, 18616, 10984, 35480, 30132, 17716, 20600, 16580, 16020, 17408, 7232, 16896, 6984, 12432, 26376, 86100, -52540, 43496, 23084, 88, -14716, 316, 13864, 48648, 36688, 26304, 14896, 32364, 15344, 19556, -179284, 30788, 28744, 22228, 20816, 9136, 166364, 150684, -435680, 42224, 16232, 9752, -100016, -24]"
2,[-589732]
3,[11912]
4,[59716]
5,[33264]
6,"[-13160, 181568]"
7,[-125700]
8,[-253136]
9,[19624]
10,[232]
11,[18988]
12,[10704]
13,[10776]
14,[355572]
15,"[51984, -568580]"
16,[-281196]
17,[208876]
