1,[5724]
2,[5688]
3,"[3309392, 8044, 8572, 5008, 5736, 5228, 29760, 18104, 17120, 7952, 6324, 6812, 12012, 13912, 6068, 10656, 1808, 15748, 8092, 3992, 784, 3472, 1860, 720, 1024, 1296, 3828, 7192, 4836, -2108, 13252, 4976, -720, 2504, 4712, 3332, 5132, 3156, 4344, 108396, 75388, -6548, -3100, -1304, -2436, -196624, 4124, 2124, 5008, 6588, 11760, 8192, 7440, 13128, 15004, 18596, 5720, 8292, 12896, 12664, 15268, 6192, 7688, 5612, 3984, 10384, 6604, 27436, 1488, 13856, 7380, 2304, 4496, 9952, 14648, -992, -300, -92536, -248, -32]"
4,[12352]
5,[7164]
6,[-412588]
7,[41680]
8,[-161864]
9,[248]
10,[20308]
